model,seed,batch_size,epochs,val_acc,test_acc,test_loss
Model_1,1,32,4,0.265625,0.30136987566947937,1.9022656679153442
Model_1,1,32,2,0.3177083432674408,0.29680365324020386,1.567133903503418
Model_2,1,16,4,0.23557692766189575,0.29064038395881653,1.6567940711975098
Model_1,2,16,3,0.21153846383094788,0.2857142984867096,1.62172532081604
Model_1,2,32,2,0.2447916716337204,0.27397260069847107,1.5944314002990723
Model_1,1,16,4,0.23076923191547394,0.27093595266342163,1.7598249912261963
Model_1,1,32,3,0.265625,0.26940637826919556,1.6868072748184204
Model_2,2,16,2,0.25,0.2660098373889923,1.5930020809173584
Model_2,2,16,4,0.2788461446762085,0.2660098373889923,1.5715868473052979
Model_2,1,16,3,0.24038460850715637,0.2610837519168854,1.9298869371414185
Model_3,2,32,4,0.2552083432674408,0.2557077705860138,1.5963267087936401
Model_1,2,32,4,0.234375,0.2557077705860138,1.8085167407989502
Model_2,2,32,2,0.2864583432674408,0.2511415481567383,1.5906965732574463
Model_3,2,32,3,0.2395833283662796,0.2511415481567383,1.6833819150924683
Model_1,2,16,2,0.24519230425357819,0.24137930572032928,1.6041293144226074
Model_1,2,16,4,0.26923078298568726,0.24137930572032928,1.872281551361084
Model_3,2,16,4,0.25,0.24137930572032928,1.6203067302703857
Model_1,2,32,3,0.2552083432674408,0.23744292557239532,1.7096987962722778
Model_3,2,16,2,0.16346153616905212,0.23152709007263184,1.6084967851638794
Model_2,1,16,2,0.2163461595773697,0.2266009896993637,1.6093692779541016
Model_3,1,16,3,0.2163461595773697,0.2216748744249344,1.6078261137008667
Model_1,1,16,3,0.2211538404226303,0.2216748744249344,1.6586674451828003
Model_2,1,32,2,0.203125,0.21004566550254822,1.609496831893921
Model_3,1,16,4,0.20673076808452606,0.2068965584039688,1.6093829870224
Model_3,1,32,2,0.1979166716337204,0.2054794579744339,1.6083898544311523
Model_3,2,32,2,0.1510416716337204,0.2009132355451584,1.6085582971572876
Model_2,2,32,3,0.1875,0.19634702801704407,1.6089743375778198
Model_3,1,32,3,0.15625,0.18721461296081543,1.608696699142456
Model_2,1,32,3,0.15625,0.18721461296081543,1.608656644821167
Model_2,2,32,4,0.1875,0.18721461296081543,1.5986433029174805
Model_1,1,16,2,0.18269230425357819,0.18719211220741272,1.6084591150283813
Model_3,1,32,4,0.171875,0.1780821979045868,1.6069825887680054
Model_2,2,16,3,0.22596153616905212,0.17241379618644714,1.5918728113174438
Model_3,1,16,2,0.2163461595773697,0.16748768091201782,1.6094366312026978
Model_2,1,32,4,0.171875,0.15981735289096832,1.6086467504501343
Model_3,2,16,3,0.23557692766189575,0.1428571492433548,1.6081464290618896
